1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.081736	0.000000	0.159965	0.004527	2.7
1	-0.083830	0.000000	0.159965	0.005356	1.4
2	-0.081979	0.000000	0.159965	0.008704	1.4
3	-0.088834	0.000000	0.159965	0.006506	1.4
4	-0.086076	0.000000	0.159965	0.005910	1.6
5	-0.082769	0.000000	0.159965	0.004593	1.6
6	-0.082910	0.000000	0.159965	0.004264	1.7
7	-0.085513	0.000000	0.159965	0.006842	1.7
8	-0.081610	0.000000	0.159965	0.005527	1.7
9	-0.079578	0.000000	0.159965	0.004903	1.6
10	-0.081565	0.000000	0.159965	0.005755	1.7
11	-0.086387	0.000000	0.159965	0.006519	1.6
12	-0.076218	0.000000	0.159965	0.006152	1.6
13	-0.082503	0.000000	0.159965	0.005406	1.6
14	-0.086615	0.000000	0.159965	0.004727	1.6
15	-0.073073	0.000000	0.159965	0.005069	1.6
16	-0.085756	0.000000	0.159965	0.006583	1.6
17	-0.081724	0.000000	0.159965	0.009048	1.7
18	-0.086010	0.000000	0.159965	0.006553	1.9
19	-0.086826	0.000000	0.159965	0.006025	1.9
20	-0.085427	0.000000	0.159965	0.004080	1.9
21	-0.082722	0.000000	0.159965	0.008636	2.0
22	-0.075785	0.000000	0.159965	0.004039	2.0
23	-0.085039	0.000000	0.159965	0.007714	2.1
24	-0.083869	0.000000	0.159965	0.005704	2.3
25	-0.084688	0.000000	0.159965	0.007125	1.8
26	-0.082608	0.000000	0.159965	0.005605	2.1
27	-0.080209	0.000000	0.159965	0.005693	2.4
28	-0.087252	0.000000	0.159965	0.005724	2.2
29	-0.080642	0.000000	0.159965	0.005850	2.0
30	-0.084864	0.000000	0.159965	0.005479	2.4
31	-0.081122	0.000000	0.159965	0.004409	2.4
32	-0.076378	0.000000	0.159965	0.005724	2.6
33	-0.084054	0.000000	0.159965	0.006982	2.5
34	-0.085374	0.000000	0.159965	0.006998	2.6
35	-0.083955	0.000000	0.159965	0.004440	2.7
36	-0.085468	0.000000	0.159965	0.004209	2.7
37	-0.081600	0.000000	0.159965	0.004267	2.7
38	-0.086150	0.000000	0.159965	0.004183	2.5
39	-0.085999	0.000000	0.159965	0.003627	2.5
40	-0.086790	0.000000	0.159965	0.004004	2.6
41	-0.084860	0.000000	0.159965	0.003708	3.4
42	-0.082471	0.000000	0.159965	0.004562	3.4
43	-0.083255	0.000000	0.159965	0.004814	2.9
44	-0.087078	0.000000	0.159965	0.010755	3.4
45	-0.083854	0.000000	0.159965	0.004617	2.9
46	-0.084570	0.000000	0.159965	0.004200	3.0
47	-0.089530	0.000000	0.159965	0.004744	3.5
48	-0.087137	0.000000	0.159965	0.006363	2.8
49	-0.087041	0.000000	0.159965	0.006832	2.7
50	-0.087589	0.000000	0.159965	0.009432	2.8
51	-0.090871	0.000000	0.159965	0.004191	2.8
52	-0.086886	0.000000	0.159965	0.005338	3.2
53	-0.084763	0.000000	0.159965	0.005559	3.6
54	-0.086869	0.000000	0.159965	0.003867	3.6
55	-0.081300	0.000000	0.159965	0.003211	3.6
56	-0.085591	0.000000	0.159965	0.004922	3.8
57	-0.084298	0.000000	0.159965	0.007686	3.7
58	-0.085177	0.000000	0.159965	0.006061	3.7
59	-0.087992	0.000000	0.159965	0.006442	3.3
60	-0.084253	0.000000	0.159965	0.006054	3.1
61	-0.082185	0.000000	0.159965	0.006108	3.1
62	-0.086568	0.000000	0.159965	0.003939	3.7
63	-0.083782	0.000000	0.159965	0.006998	2.7
64	-0.077355	0.000000	0.159965	0.005075	2.8
65	-0.082791	0.000000	0.159965	0.006116	2.8
66	-0.086924	0.000000	0.159965	0.006963	2.6
67	-0.081588	0.000000	0.159965	0.005048	2.6
68	-0.086274	0.000000	0.159965	0.006262	2.9
69	-0.084427	0.000000	0.159965	0.004243	3.1
70	-0.086464	0.000000	0.159965	0.004470	3.1
71	-0.085238	0.000000	0.159965	0.005016	2.9
72	-0.082310	0.000000	0.159965	0.004105	2.5
73	-0.086454	0.000000	0.159965	0.005898	2.4
74	-0.088469	0.000000	0.159965	0.004492	2.5
75	-0.078217	0.000000	0.159965	0.005241	2.9
76	-0.086659	0.000000	0.159965	0.004721	2.3
77	-0.086130	0.000000	0.159965	0.005461	2.5
78	-0.081682	0.000000	0.159965	0.003422	2.5
79	-0.080384	0.000000	0.159965	0.006172	2.8
80	-0.086940	0.000000	0.159965	0.005918	3.4
81	-0.087978	0.000000	0.159965	0.004228	3.4
82	-0.086409	0.000000	0.159965	0.006220	3.2
83	-0.084700	0.000000	0.159965	0.006170	3.5
84	-0.087817	0.000000	0.159965	0.007549	3.3
85	-0.081341	0.000000	0.159965	0.004808	3.5
86	-0.084409	0.000000	0.159965	0.005932	3.4
87	-0.088136	0.000000	0.159965	0.007225	3.2
88	-0.084657	0.000000	0.159965	0.005447	3.3
89	-0.081193	0.000000	0.159965	0.006419	3.2
90	-0.088306	0.000000	0.159965	0.005004	3.1
91	-0.082439	0.000000	0.159965	0.006527	3.2
92	-0.089963	0.000000	0.159965	0.003181	2.8
93	-0.086148	0.000000	0.159965	0.007891	2.8
94	-0.080427	0.000000	0.159965	0.005848	2.8
95	-0.082818	0.000000	0.159965	0.008502	2.9
96	-0.082342	0.000000	0.159965	0.002364	3.5
97	-0.085965	0.000000	0.159965	0.005151	3.2
98	-0.086534	0.000000	0.159965	0.006228	2.8
99	-0.082005	0.000000	0.159965	0.005749	2.9
100	-0.090611	0.000000	0.159965	0.004838	3.5
101	-0.084052	0.000000	0.159965	0.004896	3.1
102	-0.081686	0.000000	0.159965	0.004875	3.2
103	-0.086375	0.000000	0.159965	0.004337	3.3
104	-0.082020	0.000000	0.159965	0.005132	3.1
