1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.015805	0.000000	0.159965	0.001718	71.6
1	-0.020070	0.000000	0.159965	0.003122	4.9
2	-0.018295	1.000000	0.155547	0.004385	5.0
3	-0.016897	2.000000	0.151440	0.002811	4.7
4	-0.017293	1.200000	0.154702	0.001879	4.3
5	-0.017020	0.400000	0.158158	0.003932	4.8
6	-0.017505	0.000000	0.159965	0.005335	4.6
7	-0.019218	0.000000	0.159965	0.002198	5.2
8	-0.015409	1.000000	0.155547	0.002622	5.7
9	-0.016592	0.200000	0.159054	0.002964	3.8
10	-0.017740	0.000000	0.159965	0.002040	3.6
11	-0.017077	0.000000	0.159965	0.000786	3.9
12	-0.017032	0.000000	0.159965	0.001470	5.0
13	-0.019038	0.000000	0.159965	0.002456	5.1
14	-0.019395	0.000000	0.159965	0.001605	5.2
15	-0.015821	0.000000	0.159965	0.002240	5.3
16	-0.017447	1.000000	0.155547	0.003125	4.0
17	-0.015762	0.200000	0.159054	0.001782	5.4
18	-0.015418	1.200000	0.154702	0.003248	5.2
19	-0.015295	0.400000	0.158158	0.002012	5.3
20	-0.016966	0.000000	0.159965	0.003307	5.2
21	-0.018826	0.000000	0.159965	0.002156	5.5
22	-0.016357	0.000000	0.159965	0.003873	5.3
23	-0.016342	0.000000	0.159965	0.003301	4.6
24	-0.015810	0.000000	0.159965	0.002665	5.6
25	-0.017929	0.000000	0.159965	0.001958	5.6
26	-0.017891	1.000000	0.155547	0.002101	5.2
27	-0.017394	2.000000	0.151440	0.001987	5.4
28	-0.017053	1.200000	0.154702	0.003363	4.5
29	-0.019483	0.400000	0.158158	0.002493	4.6
30	-0.019029	0.000000	0.159965	0.002794	4.3
31	-0.017145	0.000000	0.159965	0.002934	6.7
32	-0.014059	0.000000	0.159965	0.002950	5.3
33	-0.017679	0.000000	0.159965	0.002258	5.5
34	-0.018521	1.000000	0.155547	0.002914	5.5
35	-0.016936	0.200000	0.159054	0.001940	5.9
36	-0.018596	0.000000	0.159965	0.001336	6.0
37	-0.017770	0.000000	0.159965	0.007134	5.7
38	-0.015789	0.000000	0.159965	0.002009	5.6
39	-0.015705	1.000000	0.155547	0.002714	5.8
40	-0.017193	2.000000	0.151440	0.002558	5.3
41	-0.018545	3.000000	0.147609	0.001991	6.5
42	-0.017869	2.200000	0.150652	0.002948	5.3
43	-0.018575	1.400000	0.153869	0.002194	5.8
44	-0.018475	2.400000	0.149876	0.000645	5.7
45	-0.019698	1.600000	0.153048	0.002712	5.3
46	-0.017986	2.600000	0.149110	0.002333	5.2
47	-0.016971	1.800000	0.152238	0.001560	5.6
48	-0.016724	1.000000	0.155547	0.003192	5.6
49	-0.020283	2.000000	0.151440	0.002806	5.3
50	-0.018547	1.200000	0.154702	0.002108	6.1
51	-0.018484	0.400000	0.158158	0.002914	6.2
52	-0.016317	0.000000	0.159965	0.001193	5.9
53	-0.018003	0.000000	0.159965	0.002735	6.2
54	-0.017205	1.000000	0.155547	0.002168	6.3
55	-0.018585	0.200000	0.159054	0.004198	7.2
56	-0.016537	0.000000	0.159965	0.002755	6.1
57	-0.018137	1.000000	0.155547	0.003625	6.2
58	-0.017056	0.200000	0.159054	0.001511	6.1
59	-0.016781	0.000000	0.159965	0.003102	6.9
60	-0.021078	0.000000	0.159965	0.002632	6.6
61	-0.014718	0.000000	0.159965	0.001782	6.3
62	-0.019573	1.000000	0.155547	0.007056	6.3
63	-0.015516	2.000000	0.151440	0.002517	6.2
64	-0.019376	3.000000	0.147609	0.003020	5.9
65	-0.017499	4.000000	0.144026	0.001776	10.0
66	-0.016889	3.200000	0.146873	0.002762	6.3
67	-0.019264	4.200000	0.143337	0.003995	6.3
68	-0.018243	3.400000	0.146147	0.004235	6.4
69	-0.017290	2.600000	0.149110	0.002201	6.4
70	-0.017256	1.800000	0.152238	0.001649	6.4
71	-0.019112	1.000000	0.155547	0.001877	6.1
72	-0.015648	0.200000	0.159054	0.001708	6.3
73	-0.017005	1.200000	0.154702	0.002191	5.7
74	-0.015629	2.200000	0.150652	0.002358	5.6
75	-0.019491	3.200000	0.146873	0.002722	5.2
76	-0.017304	4.200000	0.143337	0.002795	5.1
77	-0.017283	3.400000	0.146147	0.002495	5.0
78	-0.017500	2.600000	0.149110	0.006377	4.8
79	-0.016017	1.800000	0.152238	0.001128	4.8
80	-0.015745	2.800000	0.148354	0.003206	5.4
81	-0.014499	2.000000	0.151440	0.004021	5.9
82	-0.017359	3.000000	0.147609	0.002082	5.7
83	-0.016593	2.200000	0.150652	0.002338	5.6
84	-0.017612	1.400000	0.153869	0.001950	5.4
85	-0.016048	0.600000	0.157275	0.002280	5.2
86	-0.019168	1.600000	0.153048	0.004822	5.7
87	-0.014681	0.800000	0.156404	0.001590	5.0
88	-0.016066	1.800000	0.152238	0.001170	5.7
89	-0.018294	1.000000	0.155547	0.002011	5.4
90	-0.017429	0.200000	0.159054	0.002926	5.9
91	-0.016299	0.000000	0.159965	0.004515	6.0
92	-0.018159	1.000000	0.155547	0.003259	5.6
93	-0.016105	0.200000	0.159054	0.002169	5.8
94	-0.020557	0.000000	0.159965	0.002910	5.8
