1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.011256	0.000000	0.159965	0.000587	28.2
1	-1.011546	0.000000	0.159965	0.000975	22.9
2	-1.011512	0.000000	0.159965	0.000712	23.1
3	-1.011301	0.000000	0.159965	0.000567	22.7
4	-1.011502	0.000000	0.159965	0.000675	23.0
5	-1.011574	0.000000	0.159965	0.000679	22.7
6	-1.010876	0.000000	0.159965	0.000637	22.4
7	-1.011522	0.000000	0.159965	0.000506	22.4
8	-1.011208	0.000000	0.159965	0.000642	23.0
9	-1.011141	0.000000	0.159965	0.000390	23.2
10	-1.011610	0.000000	0.159965	0.000586	22.8
11	-1.010964	0.000000	0.159965	0.000413	22.9
12	-1.011524	0.000000	0.159965	0.000619	22.9
13	-1.011385	0.000000	0.159965	0.000687	22.6
14	-1.011546	0.000000	0.159965	0.000588	22.4
15	-1.011376	0.000000	0.159965	0.000600	22.1
16	-1.011461	0.000000	0.159965	0.000523	22.0
17	-1.011423	0.000000	0.159965	0.000660	22.1
18	-1.011361	0.000000	0.159965	0.000688	22.0
19	-1.010999	0.000000	0.159965	0.000441	22.1
20	-1.011251	0.000000	0.159965	0.000468	22.2
21	-1.011784	0.000000	0.159965	0.000479	22.0
22	-1.011810	0.000000	0.159965	0.000421	22.0
23	-1.011118	0.000000	0.159965	0.000505	22.1
24	-1.011593	0.000000	0.159965	0.000648	22.0
25	-1.011051	0.000000	0.159965	0.000348	21.9
26	-1.011597	0.000000	0.159965	0.000743	22.0
27	-1.011041	0.000000	0.159965	0.000696	22.0
28	-1.011716	0.000000	0.159965	0.000652	22.1
29	-1.011663	0.000000	0.159965	0.000572	22.1
30	-1.011407	0.000000	0.159965	0.000662	21.9
31	-1.011327	0.000000	0.159965	0.000709	22.0
32	-1.011253	0.000000	0.159965	0.000544	21.9
33	-1.011693	0.000000	0.159965	0.000538	22.0
34	-1.011634	0.000000	0.159965	0.000791	22.1
35	-1.011645	0.000000	0.159965	0.000487	22.1
36	-1.011330	0.000000	0.159965	0.000518	22.2
37	-1.011486	0.000000	0.159965	0.000585	22.0
38	-1.011417	0.000000	0.159965	0.000591	22.2
39	-1.011664	0.000000	0.159965	0.000561	22.1
40	-1.011657	0.000000	0.159965	0.000511	22.1
41	-1.011717	0.000000	0.159965	0.000564	22.1
42	-1.011177	0.000000	0.159965	0.000466	22.0
43	-1.011673	0.000000	0.159965	0.000533	22.3
44	-1.011178	0.000000	0.159965	0.000841	22.1
45	-1.011651	0.000000	0.159965	0.000592	22.0
46	-1.011594	0.000000	0.159965	0.000419	22.3
47	-1.011791	0.000000	0.159965	0.000610	22.1
48	-1.011318	0.000000	0.159965	0.000497	22.0
49	-1.011478	0.000000	0.159965	0.000702	22.0
50	-1.011300	0.000000	0.159965	0.000617	22.1
51	-1.011618	0.000000	0.159965	0.000394	22.0
52	-1.011450	0.000000	0.159965	0.000449	22.1
53	-1.011607	0.000000	0.159965	0.000649	22.2
54	-1.011646	0.000000	0.159965	0.000576	22.0
55	-1.011649	0.000000	0.159965	0.000458	22.0
56	-1.011417	0.000000	0.159965	0.000442	22.3
57	-1.011073	0.000000	0.159965	0.000641	22.2
58	-1.011292	0.000000	0.159965	0.000488	22.1
59	-1.011726	0.000000	0.159965	0.000737	22.5
60	-1.011727	0.000000	0.159965	0.000493	22.0
61	-1.011181	0.000000	0.159965	0.000584	22.1
62	-1.011837	0.000000	0.159965	0.000791	22.0
63	-1.011333	0.000000	0.159965	0.000751	22.0
64	-1.011179	0.000000	0.159965	0.000623	22.0
65	-1.010888	0.000000	0.159965	0.000654	22.2
66	-1.011294	0.000000	0.159965	0.000619	22.1
67	-1.011265	0.000000	0.159965	0.000729	22.1
68	-1.010975	0.000000	0.159965	0.000327	22.1
69	-1.011853	0.000000	0.159965	0.000595	22.2
70	-1.011299	0.000000	0.159965	0.000334	22.2
71	-1.011514	0.000000	0.159965	0.000602	22.0
72	-1.011646	0.000000	0.159965	0.000699	22.0
73	-1.011465	0.000000	0.159965	0.000541	22.2
74	-1.011966	0.000000	0.159965	0.000478	22.2
75	-1.011519	0.000000	0.159965	0.000575	22.0
76	-1.011842	0.000000	0.159965	0.000518	22.2
77	-1.011273	0.000000	0.159965	0.000450	22.0
78	-1.011412	0.000000	0.159965	0.000582	22.0
79	-1.011792	0.000000	0.159965	0.000639	22.1
80	-1.011394	0.000000	0.159965	0.000728	22.0
81	-1.011507	0.000000	0.159965	0.000637	22.2
82	-1.011423	0.000000	0.159965	0.000791	22.0
83	-1.011319	0.000000	0.159965	0.000580	22.1
84	-1.011784	0.000000	0.159965	0.000474	22.2
85	-1.011418	0.000000	0.159965	0.000579	22.2
86	-1.010878	0.000000	0.159965	0.000557	22.1
87	-1.011108	0.000000	0.159965	0.000776	22.0
88	-1.011464	0.000000	0.159965	0.000441	22.1
89	-1.011193	0.000000	0.159965	0.000716	22.1
90	-1.011288	0.000000	0.159965	0.000471	22.0
91	-1.011577	0.000000	0.159965	0.000676	22.1
92	-1.011171	0.000000	0.159965	0.000482	22.3
93	-1.011080	0.000000	0.159965	0.000708	22.1
94	-1.011705	0.000000	0.159965	0.000424	22.0
95	-1.011239	0.000000	0.159965	0.000655	22.0
96	-1.011073	0.000000	0.159965	0.000409	22.2
97	-1.011327	0.000000	0.159965	0.000463	22.1
