1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.008764	0.000000	0.159965	0.000756	579.2
1	-1.009598	0.000000	0.159965	0.000828	23.9
2	-1.009006	0.000000	0.159965	0.000623	23.6
3	-1.008961	0.000000	0.159965	0.001058	23.2
4	-1.009860	0.996101	0.155564	0.000612	23.9
5	-1.008873	0.196101	0.159072	0.000662	23.5
6	-1.008498	0.000000	0.159965	0.000486	23.5
7	-1.009516	0.000000	0.159965	0.000985	24.5
8	-1.008495	0.000000	0.159965	0.000819	23.9
9	-1.008225	0.000000	0.159965	0.000805	24.3
10	-1.009299	0.000000	0.159965	0.000613	23.6
11	-1.009520	0.000000	0.159965	0.000813	23.6
12	-1.008260	0.000000	0.159965	0.000637	23.9
13	-1.008864	0.000000	0.159965	0.000618	24.1
14	-1.009138	0.000000	0.159965	0.001040	24.2
15	-1.008367	0.000000	0.159965	0.001255	23.9
16	-1.009007	0.000000	0.159965	0.000703	23.7
17	-1.008884	0.000000	0.159965	0.000928	24.0
18	-1.009419	0.000000	0.159965	0.000426	24.1
19	-1.008909	0.000000	0.159965	0.000936	24.2
20	-1.009053	0.000000	0.159965	0.001247	24.0
21	-1.009159	0.385864	0.158221	0.000826	23.8
22	-1.009278	0.000000	0.159965	0.000673	23.6
23	-1.009429	0.000000	0.159965	0.000759	24.4
24	-1.009599	0.000000	0.159965	0.000813	24.1
25	-1.009082	0.964685	0.155697	0.000815	24.0
26	-1.009383	1.964685	0.151580	0.000700	23.5
27	-1.008497	2.964685	0.147740	0.000596	23.9
28	-1.009461	2.164685	0.150791	0.000915	24.1
29	-1.008889	1.364685	0.154015	0.000480	23.9
30	-1.009450	0.564685	0.157430	0.001009	23.8
31	-1.009699	0.000000	0.159965	0.000558	23.7
32	-1.009853	0.000000	0.159965	0.000838	23.7
33	-1.010530	0.000000	0.159965	0.000693	23.5
34	-1.008787	0.000000	0.159965	0.001105	24.1
35	-1.008770	0.448330	0.157943	0.000622	23.9
36	-1.008316	0.000000	0.159965	0.000579	23.6
37	-1.010018	0.000000	0.159965	0.000520	23.7
38	-1.009165	0.000000	0.159965	0.000617	23.6
39	-1.009834	0.000000	0.159965	0.000947	24.0
40	-1.009858	0.000000	0.159965	0.000662	23.8
41	-1.009127	0.000000	0.159965	0.001012	23.6
42	-1.008483	0.000000	0.159965	0.000589	23.9
43	-1.008621	0.000000	0.159965	0.000988	24.3
44	-1.009284	0.000000	0.159965	0.000541	23.9
45	-1.009131	0.000000	0.159965	0.000834	23.8
46	-1.009320	0.999981	0.155547	0.000886	23.7
47	-1.008379	0.199981	0.159055	0.000539	24.2
48	-1.009028	0.921749	0.155881	0.001011	23.6
49	-1.009113	0.121749	0.159409	0.000728	23.5
50	-1.008645	0.000000	0.159965	0.000534	23.6
51	-1.008791	0.000000	0.159965	0.000919	23.4
52	-1.009478	0.853749	0.156173	0.000655	24.3
53	-1.009279	0.053749	0.159719	0.001051	23.6
54	-1.009956	0.000000	0.159965	0.001380	23.7
55	-1.009379	1.000000	0.155547	0.000933	24.0
56	-1.009544	0.200000	0.159054	0.000637	23.3
57	-1.009280	0.000000	0.159965	0.000483	23.7
58	-1.009969	0.000000	0.159965	0.000875	23.6
59	-1.008972	0.000000	0.159965	0.000666	23.5
60	-1.009894	0.000000	0.159965	0.000818	23.8
61	-1.009654	0.000000	0.159965	0.000536	23.8
62	-1.009695	0.000000	0.159965	0.000681	23.5
63	-1.008619	0.000000	0.159965	0.000712	23.8
64	-1.009121	0.000000	0.159965	0.000616	23.5
65	-1.009467	0.000000	0.159965	0.001174	23.5
66	-1.008520	0.000000	0.159965	0.000864	23.6
67	-1.009326	0.000000	0.159965	0.000799	24.6
68	-1.009453	1.000000	0.155547	0.000967	23.9
69	-1.008337	0.200000	0.159054	0.000826	23.9
70	-1.008680	0.000000	0.159965	0.000860	23.7
71	-1.008834	0.000000	0.159965	0.000876	23.5
72	-1.008046	0.000000	0.159965	0.000557	23.6
73	-1.008917	0.000000	0.159965	0.001054	24.1
74	-1.009594	0.000000	0.159965	0.000684	23.4
75	-1.009222	0.000000	0.159965	0.000583	23.7
76	-1.008591	0.000000	0.159965	0.000768	23.6
77	-1.008898	0.000000	0.159965	0.000588	23.7
78	-1.008807	0.000000	0.159965	0.000535	23.7
79	-1.008723	0.000000	0.159965	0.000805	23.3
80	-1.008646	0.000000	0.159965	0.000879	23.8
81	-1.009414	0.000000	0.159965	0.000846	24.1
82	-1.008966	0.000000	0.159965	0.001142	23.5
83	-1.008741	0.000000	0.159965	0.000640	23.6
84	-1.008931	0.999998	0.155547	0.000795	23.9
85	-1.008384	0.201988	0.159045	0.000945	23.6
86	-1.009227	0.000000	0.159965	0.000793	23.6
87	-1.010354	0.000000	0.159965	0.001446	23.4
88	-1.009274	0.000000	0.159965	0.000618	23.8
89	-1.008977	0.000000	0.159965	0.001072	23.8
90	-1.008811	0.000000	0.159965	0.000775	23.7
91	-1.008835	0.000000	0.159965	0.000494	23.6
92	-1.008937	0.000000	0.159965	0.000688	23.6
93	-1.009745	0.000000	0.159965	0.001032	23.6
94	-1.009195	0.000000	0.159965	0.000933	23.6
